Country,C02 Emissions,Child Mortality,Life Expectancy,Income,Population,Birth Rate
"Micronesia, Fed. Sts.",1.34,30.8,64.1,3460,113000,2.12
Moldova,1.27,15.8,74,12400,4050000,3.05
,,3.21,79.9,68700,38700,1.23
Mongolia,8.88,16.3,68,12000,3170000,2.67
Montenegro,3.2,2.55,75.6,20700,628000,1.65
Morocco,1.84,22.4,73.1,7450,36000000,2.42
Mozambique,0.281,73.2,57.9,1290,29500000,5.12
Myanmar,0.491,46.2,69.1,4470,53700000,2.17
Namibia,1.75,39.6,64.7,10100,2450000,3.3
Nauru,4.71,31.8,63.2,13600,10700,2.05
Nepal,0.337,32.2,70.8,3770,28100000,1.75
Netherlands,9.48,3.87,81.7,56100,17100000,1.84
New Zealand,7.34,5.7,81.8,42900,4740000,1.97
Nicaragua,0.862,18.3,75.2,5730,6470000,2.14
Niger,0.103,83.7,62,1200,22400000,7.13
Nigeria,0.65,120,63.8,5160,196000000,5.39
North Korea,1.18,18.2,72.9,1860,25500000,1.89
North Macedonia,3.49,9.9,74.3,16100,2080000,1.55
Norway,8.31,2.54,82.8,64300,5340000,1.83
Oman,13.9,11.4,73.6,32600,4830000,2.52
Pakistan,1.05,69.3,65.5,4740,212000000,3.35
Palau,13.2,17.9,67.4,17600,17900,
Palestine,0.661,20.3,74.7,6320,4860000,3.88
Panama,2.62,15.3,79.9,31000,4180000,2.46
Papua New Guinea,0.911,47.8,64.4,4190,8610000,3.56
Paraguay,1.07,20.1,76.5,12800,6960000,2.43
Peru,1.74,14.3,80,12800,32000000,2.34
Philippines,1.27,28.4,71.6,8520,107000000,2.86
Poland,9.07,4.45,78,31700,37900000,1.29
Portugal,4.97,3.75,81.7,34000,10300000,1.24
Qatar,38,6.83,76.1,91000,2780000,1.87
Romania,3.8,7.28,75.5,28500,19500000,1.54
Russia,11.7,7.18,73,26700,146000000,1.76
Rwanda,0.0913,35.3,68.3,2090,12300000,3.74
Samoa,1.32,15.8,70.4,6390,196000,3.88
,,1.96,82.1,59600,33800,
Sao Tome and Principe,0.587,31.2,70.7,3990,211000,4.33
Saudi Arabia,18.4,7.06,74.3,47600,33700000,2.45
Senegal,0.739,43.6,68,3310,15900000,4.62
Serbia,5.17,5.55,75.6,17500,8800000,1.62
Seychelles,6.75,14.4,73.5,27500,97100,2.25
Sierra Leone,0.141,105,61.2,1660,7650000,4.26
Singapore,7.1,2.81,84.7,98200,5760000,1.26
Slovak Republic,6.61,5.59,77.5,31200,5450000,1.47
Slovenia,6.95,2.14,81.4,38000,2080000,1.65
Solomon Islands,0.273,20,59,2700,653000,3.74
Somalia,0.0466,122,57.9,1130,15000000,6.08
South Africa,8.1,33.8,64.4,13900,57800000,2.4
South Korea,12.9,3.19,82.9,42000,51200000,1.33
South Sudan,0.171,98.6,63,2010,11000000,4.7
Spain,5.75,3.03,83.1,40300,46700000,1.39
Sri Lanka,1.1,7.44,77.2,12900,21200000,2.02
St. Kitts and Nevis,4.62,12,72.1,27500,52400,
St. Lucia,2.31,16.6,75.1,15300,182000,1.44
St. Vincent and the Grenadines,2.03,16.4,72.8,12500,110000,1.89
Sudan,0.504,60.5,70.1,4370,41800000,4.41
Suriname,3.1,18.9,72.6,19000,576000,2.32
Sweden,4.12,2.71,82.7,52300,9970000,1.91
Switzerland,4.33,4.12,83.9,70600,8530000,1.55
Syria,1.67,16.7,73.2,3890,16900000,2.82
Taiwan,11.6,4.56,80.2,51900,23700000,1.22
Tajikistan,0.603,34.8,69.2,3420,9100000,3.27
Tanzania,0.222,53,66.7,2590,56300000,4.89
Thailand,4.15,9.1,78.3,18100,69400000,1.45
Timor-Leste,0.412,45.8,70.5,3090,1270000,5.28
Togo,0.434,69.8,64.5,2060,7890000,4.32
Tonga,1.31,15.6,72.9,6410,103000,3.56
Trinidad and Tobago,31.3,18.3,74.8,26300,1390000,1.73
Tunisia,2.73,17,77.5,11400,11600000,2.15
Turkey,5.2,10.6,78.1,28300,82300000,2.02
Turkmenistan,13.7,45.8,70.6,14800,5850000,2.79
Tuvalu,1.01,24.4,67.8,3950,11500,
Uganda,0.135,46.4,65.7,2130,42700000,5.41
Ukraine,5.09,8.73,73.9,12300,44200000,1.56
United Arab Emirates,21.4,7.59,73.7,67000,9630000,1.72
United Kingdom,5.65,4.26,81,46900,67100000,1.87
United States,16.6,6.53,79,61600,327000000,1.9
Uruguay,2.01,7.58,77.5,23000,3450000,1.97
Uzbekistan,2.81,21.4,68.1,7080,32500000,2.23
Vanuatu,0.529,26.4,65.3,3090,293000,3.2
Venezuela,4.81,24.5,75.4,12400,28900000,2.27
Vietnam,2.16,20.7,74.3,7590,95500000,1.95
Yemen,0.356,55,66.1,2660,28500000,3.79
Zambia,0.302,57.8,62.5,3520,17400000,4.87
Zimbabwe,0.85,46.2,60.6,3920,14400000,3.61
